,Total,12 Packs,,Starter ,Jinx,,SF Box,,Rumble Deck,
No,Total,Normal,Shinny,Garen + Master Yi,Normal,Shinny,Normal,Shinny,Normal,Shinny
sfd-156,3,,,,,,3.0,,,
sfd-157,5,,,,,,4.0,1.0,,
sfd-158,3,,,,,,3.0,,,
sfd-159,3,,,,,,3.0,,,
sfd-160,3,,,,,,3.0,,,
sfd-161,1,,,,,,1.0,,,
sfd-162,2,,,,,,2.0,,,
sfd-163,2,,,,,,2.0,,,
sfd-164,1,,,,,,1.0,,,
sfd-165,1,,,,,,1.0,,,
sfd-166,1,,,,,,1.0,,,
sfd-167,2,,,,,,1.0,1.0,,
sfd-168,2,,,,,,1.0,1.0,,
sfd-169,1,,,,,,1.0,,,
sfd-170,0,,,,,,,,,
sfd-170a,,,,,,,,,,
sfd-171,0,,,,,,,,,
sfd-171a,,,,,,,,,,
sfd-172,0,,,,,,,,,
sfd-173,1,,,,,,1.0,,,
sfd-174,1,,,,,,1.0,,,
sfd-175,1,,,,,,1.0,,,
sfd-176,0,,,,,,,,,
sfd-177,0,,,,,,,,,
sfd-177a,,,,,,,,,,
sfd-178,0,,,,,,,,,
sfd-179,0,,,,,,,,,
sfd-180,0,,,,,,,,,
sfd-180a,,,,,,,,,,
sfd-181,1,,,,,,1.0,,,
sfd-182,1,,,,,,1.0,,,
sfd-183,1,,,,,,1.0,,,
sfd-184,1,,,,,,1.0,,,
sfd-185,1,,,,,,1.0,,,
sfd-186,0,,,,,,,,,
sfd-187,1,,,,,,1.0,,,
sfd-188,0,,,,,,,,,
sfd-189,1,,,,,,1.0,,,
sfd-190,1,,,,,,1.0,,,
sfd-191,1,,,,,,1.0,,,
sfd-192,1,,,,,,1.0,,,
sfd-193,1,,,,,,1.0,,,
sfd-194,0,,,,,,,,,
sfd-195,1,,,,,,1.0,,,
sfd-196,0,,,,,,,,,
sfd-197,1,,,,,,1.0,,,
sfd-198,0,,,,,,,,,
sfd-199,1,,,,,,1.0,,,
sfd-200,0,,,,,,,,,
sfd-201,0,,,,,,,,,
sfd-202,0,,,,,,,,,
sfd-203,1,,,,,,1.0,,,
sfd-204,0,,,,,,,,,
sfd-205,0,,,,,,,,,
sfd-206,0,,,,,,,,,
sfd-207,1,,,,,,1.0,,,
sfd-208,1,,,,,,1.0,,,
sfd-209,1,,,,,,1.0,,,
sfd-210,1,,,,,,1.0,,,
sfd-211,1,,,,,,1.0,,,
sfd-212,1,,,,,,1.0,,,
sfd-213,1,,,,,,1.0,,,
sfd-214,2,,,,,,1.0,1.0,,
sfd-215,1,,,,,,1.0,,,
sfd-216,2,,,,,,1.0,1.0,,
sfd-217,1,,,,,,1.0,,,
sfd-218,1,,,,,,1.0,,,
sfd-219,1,,,,,,1.0,,,
sfd-220,2,,,,,,1.0,1.0,,
sfd-221,1,,,,,,1.0,,,
sfd-222,0,,,,,,,,,
sfd-223,0,,,,,,,,,
sfd-223,0,,,,,,,,,
sfd-224,0,,,,,,,,,
sfd-224,0,,,,,,,,,
sfd-225,0,,,,,,,,,
sfd-225,0,,,,,,,,,
sfd-226,0,,,,,,,,,
sfd-227,0,,,,,,,,,
sfd-227,0,,,,,,,,,
sfd-228,0,,,,,,,,,
sfd-228,0,,,,,,,,,
sfd-229,0,,,,,,,,,
sfd-230,0,,,,,,,,,
sfd-230,0,,,,,,,,,
sfd-231,0,,,,,,,,,
sfd-232,0,,,,,,,,,
sfd-232,0,,,,,,,,,
sfd-233,0,,,,,,,,,
sfd-233,0,,,,,,,,,
sfd-234,0,,,,,,,,,
sfd-235,0,,,,,,,,,
sfd-235,0,,,,,,,,,
sfd-236,0,,,,,,,,,
sfd-236,0,,,,,,,,,
sfd-237,0,,,,,,,,,
sfd-237,0,,,,,,,,,
sfd-238,0,,,,,,,,,
sfd-239,0,,,,,,,,,
sfd-239,0,,,,,,,,,
